CajaNro;FechaApertura;FechaCierre;Estado;MontoAp;Monto;Difen;Responsable
1;26/10/2020 09:02;27/10/2020 08:36;CERRADA;465,25;2424,34;75,66;Administrador Total
2;27/10/2020 08:40;27/10/2020 18:12;CERRADA;462,25;8290,25;2969,75;Administrador Total
3;28/10/2020 09:12;28/10/2020 18:16;CERRADA;462,25;4241,07;3138,93;Administrador Total
4;29/10/2020 09:09;29/10/2020 18:20;CERRADA;462,25;5427,25;2915,75;Administrador Total
5;30/10/2020 08:57;30/10/2020 18:18;CERRADA;460,25;5196,01;1853,99;Administrador Total
6;31/10/2020 10:11;31/10/2020 15:05;CERRADA;470,25;5133,25;4910,75;Administrador Total
7;2/11/2020 08:50;2/11/2020 18:23;CERRADA;455,75;7759,85;4967,15;Administrador Total
8;3/11/2020 09:55;3/11/2020 18:39;CERRADA;462,75;3365,69;14352,56;Administrador Total
9;4/11/2020 08:33;4/11/2020 19:27;CERRADA;463;4695;4026;Administrador Total
10;5/11/2020 08:30;5/11/2020 21:27;CERRADA;470;5650,06;4004,94;Administrador Total
11;6/11/2020 09:04;6/11/2020 18:16;CERRADA;465;3930;8423;Administrador Total
12;7/11/2020 09:49;7/11/2020 15:26;CERRADA;455;3201;3260,75;Administrador Total
13;7/11/2020 15:13;9/11/2020 19:01;CERRADA;456,25;12593,4;3901,6;Administrador Total
14;10/11/2020 09:04;10/11/2020 18:16;CERRADA;460;6725,96;5945,79;Administrador Total
15;11/11/2020 08:37;11/11/2020 18:35;CERRADA;460;7392,35;3849,4;Administrador Total
16;12/11/2020 09:03;12/11/2020 18:36;CERRADA;431,75;8511,24;4737,76;Administrador Total
17;13/11/2020 08:29;13/11/2020 18:32;CERRADA;430,75;7063,11;8014,64;Administrador Total
18;14/11/2020 08:36;16/11/2020 08:33;CERRADA;448,5;6355,83;644,17;Administrador Total
19;16/11/2020 08:34;16/11/2020 18:45;CERRADA;451,5;8626,44;2180,31;Administrador Total
20;17/11/2020 08:33;18/11/2020 08:33;CERRADA;468,28;5937,28;62,72;Administrador Total
21;18/11/2020 08:33;18/11/2020 18:16;CERRADA;458,25;11365,21;7267,79;Administrador Total
22;19/11/2020 08:45;19/11/2020 18:28;CERRADA;451,25;9335,71;2264,29;Administrador Total
23;20/11/2020 09:13;20/11/2020 19:15;CERRADA;454,25;5310,27;6330,73;Administrador Total
24;21/11/2020 08:28;21/11/2020 15:09;CERRADA;452,25;1690,03;2234,97;Administrador Total
25;21/11/2020 15:06;23/11/2020 18:20;CERRADA;391,25;5649,75;2092,25;Administrador Total
26;24/11/2020 08:55;24/11/2020 18:38;CERRADA;463,25;6534,25;4747,75;Administrador Total
27;25/11/2020 08:30;25/11/2020 18:15;CERRADA;455,25;4129,25;5605,5;Administrador Total
28;26/11/2020 08:34;26/11/2020 18:11;CERRADA;356,25;6168,71;4667,79;Administrador Total
29;27/11/2020 08:28;27/11/2020 18:18;CERRADA;410,75;5576,64;6408,36;Administrador Total
30;28/11/2020 08:36;28/11/2020 15:09;CERRADA;365,75;6627,75;2752,25;Administrador Total
31;30/11/2020 08:40;30/11/2020 18:11;CERRADA;381,75;3445,75;4779,25;Administrador Total
32;1/12/2020 08:36;1/12/2020 18:16;CERRADA;464,75;9283,05;3095,45;Administrador Total
33;2/12/2020 08:41;2/12/2020 18:08;CERRADA;453,75;10952,75;7163,25;Administrador Total
34;3/12/2020 08:03;3/12/2020 18:28;CERRADA;468,75;6395,75;6994,25;Administrador Total
35;4/12/2020 08:25;4/12/2020 18:33;CERRADA;455,75;11339,75;26,25;Administrador Total
36;5/12/2020 08:36;5/12/2020 15:51;CERRADA;461,75;7964,09;1865,91;Administrador Total
37;7/12/2020 08:43;7/12/2020 18:41;CERRADA;441,75;11372;4309;Administrador Total
38;8/12/2020 08:30;8/12/2020 15:11;CERRADA;462,75;7924,95;2426,05;Administrador Total
39;9/12/2020 08:24;9/12/2020 18:10;CERRADA;453,75;12534,74;3809,26;Administrador Total
40;10/12/2020 09:04;10/12/2020 18:19;CERRADA;457,75;12292,33;3594,67;Administrador Total
41;11/12/2020 08:07;11/12/2020 18:16;CERRADA;434,75;7925,73;2439,52;Administrador Total
42;12/12/2020 08:32;12/12/2020 15:41;CERRADA;440;5957,48;1212,52;Administrador Total
43;12/12/2020 15:14;14/12/2020 20:47;CERRADA;460;10157,82;633,18;Administrador Total
44;15/12/2020 08:06;15/12/2020 18:22;CERRADA;460;11277,33;1117,67;Administrador Total
45;16/12/2020 08:14;16/12/2020 18:16;CERRADA;425;10482,18;1205,82;Administrador Total
46;17/12/2020 08:06;17/12/2020 19:23;CERRADA;453;8724,8;1838,2;Administrador Total
47;18/12/2020 08:14;18/12/2020 18:05;CERRADA;466;10694,46;1892,54;Administrador Total
48;19/12/2020 08:32;19/12/2020 14:59;CERRADA;463;7819,4;1042,6;Administrador Total
49;19/12/2020 15:12;21/12/2020 18:05;CERRADA;463;7360;1463;Administrador Total
50;22/12/2020 08:14;22/12/2020 18:44;CERRADA;461;13811,3;2070,2;Administrador Total
51;23/12/2020 08:00;23/12/2020 18:15;CERRADA;460;8766,5;1353,5;Administrador Total
52;24/12/2020 08:00;24/12/2020 18:03;CERRADA;410;21394,48;865,52;Administrador Total
53;24/12/2020 18:04;28/12/2020 18:25;CERRADA;460;5077;2411;Administrador Total
54;29/12/2020 08:04;29/12/2020 18:07;CERRADA;423;5263,55;1625,45;Administrador Total
55;30/12/2020 07:59;30/12/2020 18:05;CERRADA;463;4062,5;560,5;Administrador Total
56;4/1/2021 09:06;4/1/2021 18:16;CERRADA;466;10125,5;-60,5;Administrador Total
57;5/1/2021 08:59;5/1/2021 18:17;CERRADA;460;6650,9;3015,1;Administrador Total
58;6/1/2021 07:57;6/1/2021 18:29;CERRADA;470;10817,38;962,62;Administrador Total
59;7/1/2021 08:02;7/1/2021 18:10;CERRADA;410;5605;1207;Administrador Total
60;8/1/2021 08:30;8/1/2021 18:39;CERRADA;451;9436,99;1755,51;Administrador Total
61;9/1/2021 08:36;9/1/2021 15:16;CERRADA;463,5;9812,5;1532,5;Administrador Total
62;9/1/2021 15:25;11/1/2021 18:19;CERRADA;408,5;3501,95;1054,05;Administrador Total
63;12/1/2021 08:08;12/1/2021 18:46;CERRADA;469,5;3501,5;1152,5;Administrador Total
64;13/1/2021 08:15;13/1/2021 18:29;CERRADA;453;4843,9;628,1;Administrador Total
65;14/1/2021 08:01;14/1/2021 18:09;CERRADA;445,5;6806;14;Administrador Total
66;15/1/2021 08:02;15/1/2021 18:13;CERRADA;460;4533,99;996,01;Administrador Total
67;16/1/2021 08:33;16/1/2021 15:08;CERRADA;460;5331;450;Administrador Total
68;18/1/2021 08:01;18/1/2021 18:05;CERRADA;421;5391;-434;Administrador Total
69;19/1/2021 08:02;19/1/2021 18:18;CERRADA;458;5499,5;693,5;Administrador Total
70;20/1/2021 08:11;20/1/2021 18:05;CERRADA;454,5;11735,75;381,25;Administrador Total
71;21/1/2021 08:04;21/1/2021 18:28;CERRADA;460;6569,54;921,46;Administrador Total
72;22/1/2021 08:08;22/1/2021 18:12;CERRADA;460;6272;1039;Administrador Total
73;23/1/2021 08:30;23/1/2021 15:16;CERRADA;466;4009;222;Administrador Total
74;25/1/2021 08:02;25/1/2021 18:15;CERRADA;431;4713,98;1020,02;Administrador Total
75;26/1/2021 08:04;27/1/2021 08:09;CERRADA;474;6894,5;0,5;Administrador Total
76;27/1/2021 08:10;27/1/2021 18:11;CERRADA;460;6738,36;1933,64;Administrador Total
77;28/1/2021 08:09;28/1/2021 18:30;CERRADA;460;8618,24;1001,76;Administrador Total
78;29/1/2021 08:01;29/1/2021 18:18;CERRADA;460;10868,85;37,15;Administrador Total
79;30/1/2021 08:31;30/1/2021 15:10;CERRADA;460;4619,54;45,46;Administrador Total
80;1/2/2021 08:19;1/2/2021 18:12;CERRADA;460;11763,78;1803,22;Administrador Total
81;2/2/2021 08:13;3/2/2021 08:22;CERRADA;460;6713,65;1484,35;Administrador Total
82;3/2/2021 08:26;3/2/2021 18:15;CERRADA;460;5917,13;785,37;Administrador Total
83;4/2/2021 08:15;4/2/2021 18:39;CERRADA;410;11815,56;125189,44;Administrador Total
84;5/2/2021 08:15;5/2/2021 18:28;CERRADA;460;10228,73;780,27;Administrador Total
85;6/2/2021 08:44;6/2/2021 15:25;CERRADA;462,75;10141,74;437,01;Administrador Total
86;8/2/2021 08:08;8/2/2021 18:03;CERRADA;458,75;14311,7;-547,7;Administrador Total
