Marcas;Costo;Ventas;Ganancia
MLR;3889243,505;7540679,52;3651436,015
SIN MARCA;4171784,342;9020417,962;4848633,62
CBX;1672133,214;7241174,856;5569041,641
EFRÉN/KOBY;2120666,852;4339546,85;2218879,998
MIL28;1070172,03;2199029,941;1128857,911
MAKOR;615270,0961;1242910,536;627640,4394
CORDÓN DE ORO;576137,582;1169781,739;593644,1574
BIC;684841,59;1373670,82;688829,23
TRIUNFANTE;665734,26;1316106,79;650372,53
FILGO;664405,04;1348103,855;683698,815
LAPRIDA;551239,48;1120342,41;569102,93
ADELBRAS;528396,63;1124851,83;596455,2
CISNE;538287,1;1013568,13;475281,03
RIVADAVIA;452308,07;880392,59;428084,52
FABER CASTELL;448795,4;887399,52;438604,12
SOL;319223,12;634435,36;315212,24
ARTISTICA DIBU;370746,87;719974,9;349228,03
BAHÍA ;335725,27;653400,75;317675,48
TINTORETTO;301559,25;606665,04;305105,79
MAPED;329803,19;668342,64;338539,45
LEDESMA;292640,86;589494;296853,14
TRABI;275454,76;556374,45;280919,69
AMERICA;242250,42;507360;265109,58
MAGNA ;269352,89;545279,99;275927,1
PARTY TIME;164190,95;319598;155407,05
ÚTIL UNO;226937,65;465771,46;238833,81
AVON;223697,16;455778,98;232081,82
SINGER;187029,37;382023,78;194994,41
PLANTEC;173880,88;362401,41;188520,53
PIZZINI;220331,3;436888,69;216557,39
HUSARES;214358,77;406222,01;191863,24
SIFAP;176555,42;360614,81;184059,39
KENKO;164267,95;354849,74;190581,79
ESTRADA;197288,65;386009,77;188721,12
FIBRA NEGRA;137221,49;304296;167074,51
COLIBRI;141699,28;292376,42;150677,14
METAL GROUP;152429,2827;310860,5648;158431,2821
EQ;146326,26;307298;160971,74
MIT;133255,78;284060,64;150804,86
MADE IN CHINA;120754,66;251790,36;131035,7
MODEL;135681,46;272311,03;136629,57
ASB;115802,4;234055,89;118253,49
TAL-OFFICE;97676,54;211944,11;114267,57
EZCO;111209,04;223103,54;111894,5
VOLIGOMA;125674,26;253137,4;127463,14
SIMBALL;132440,81;259943,14;127502,33
;113642,2002;238561,09;124918,8898
IGLU;97549,33;211125,86;113576,53
PPR;117458,68;246200;128741,32
DURAVIT;97828,66;224567;126738,34
ARUBA;129867,13;249351;119483,87
MEDORO;64920,59;140783,94;75863,35
PRO21;101040,92;222392;121351,08
MURESCO;116841,223;237737,43;120896,207
