Rubros;Costo;Ventas;Ganancia
ESCOLAR;10219985,89;20681649,45;10461663,55
ARTISTICA;4551144,223;8887394,34;4336250,117
COMERCIAL;3628919,392;7625545,037;3996625,645
KIOSKO;136562,73;4010725,842;3874163,112
PAPELERIA;2084275,978;4228037,963;2143761,985
MERCERIA;1489474,486;3097190,191;1607715,705
LANAS E HILADOS;1790204,907;3504076,574;1713871,667
REGALERIA;1160198,968;2768770,756;1608571,788
MANUALIDADES;1316862,039;2685673,78;1368811,741
CINTAS Y PUNTILLAS;981389,6345;1981333,922;999944,2871
CIERRES;900249,9469;1815654,342;915404,3951
FLISELINAS Y TELAS;515926,8562;1041209,638;525282,7823
ELASTICOS;351328,4847;697591,6519;346263,1672
TECNICO;345697,61;732488,89;386791,28
JUGUETES ;304116,14;643408;339291,86
TECNOLOGIA;264782,19;583407;318624,81
BOTONES;115442,5975;242497,637;127055,0395
;113642,2002;238561,09;124918,8898
MARROQUINERIA;68185,09;140520,09;72335
LIBROS;62375,92;130336;67960,08
LENCERIA;64560,168;126385,115;61824,947
TOTAL;30465325,45;65862457,3;35397131,85
