Producto;Cant;Rubro;Marca;Proveedor
FOTOCOPIAS DOBLE FAZ;85634,81642;ARTISTICA;MLR;MLR
FOTOCOPIAS SIMPLES;62850,53;ARTISTICA;MLR;MLR
Golosinas;29812,51;KIOSKO;CBX;CASA ARGENTINA
IMPRESIONES ;9670,54;ARTISTICA;MLR;MLR
IMPRESIONES COLOR;8307,56;ARTISTICA;MLR;MLR
Folio A4 Efren Lopez Standart 40 mic.;7789;ESCOLAR;EFRÉN/KOBY;EFREN LOPEZ
IMPRESIONES COLOR SIMPLES;7077,1;ARTISTICA;MLR;MLR
Bolsa Camiseta Mediana;3953,3;ARTISTICA;SIN MARCA;PLASTIMI
Barra de Silicona Efrén Fina;2998;MANUALIDADES;EFRÉN/KOBY;EFREN LOPEZ
Folio Escolar Efren Lopez Standart 40 mic.;2914;ESCOLAR;EFRÉN/KOBY;EFREN LOPEZ
Chocolates;2647;KIOSKO;CBX;CASA ARGENTINA
Elástico Medicinal C. de Oro 021 Blanco;2450,735;ELASTICOS;MAKOR;MAKOR S. A.
Folio Oficio Efren Lopez Standart 40 mic.;2102;ESCOLAR;EFRÉN/KOBY;EFREN LOPEZ
Globos Nº 9 Rojo;1715;REGALERIA;PARTY TIME;CHOCOLATE MISIONERO
Elástico Blanco 5mm 016;1488,3725;ELASTICOS;MAKOR;MAKOR S. A.
Bolígrafo Bic Cristal Punta Media Azul;1464;ESCOLAR;BIC;EFREN LOPEZ
Argollas Metálicas Niqueladas 20 mm c/ cadena 2623;1448;MANUALIDADES;MAKOR;MAKOR S. A.
Formularios;1433;COMERCIAL;MLR;MLR
IMPRESIONES B/N FOTO CON TEXTO;1410;ARTISTICA;MLR;MLR
Bolsa Camiseta Chica;1405,8;ARTISTICA;SIN MARCA;PLASTIMI
Globos Nº 9 Blanco;1400;REGALERIA;PARTY TIME;CHOCOLATE MISIONERO
Hojas A4 por unidad;1314;ARTISTICA;HUSARES;EFREN LOPEZ
Elástico Negro 5mm 016;1265,71556;ELASTICOS;MAKOR;MAKOR S. A.
Elástico Cordón de Oro Blanco 1801.10;1244,304;ELASTICOS;CORDÓN DE ORO;MAKOR S. A.
IMPRESIONES B/N FOTO CON IMAGENES;1226,5;ARTISTICA;CBX;MLR
Mapa Escolar N° 3 República Argentina Político;1215;ESCOLAR;TRIUNFANTE;CASA ARGENTINA
IMPRESIONES COLOR DOBLE FAZ;1175,02;ARTISTICA;MLR;MLR
Plastificado Carnet;1162;ARTISTICA;MLR;MLR
Historia Clínica Única p/alumnos Escuela Saludable;1141;COMERCIAL;MLR;MLR
Mapa Escolar N° 3 Planisferio Político;1136;ESCOLAR;TRIUNFANTE;CASA ARGENTINA
Repuesto de Dibujo N° 5 Blanco Mil28;1118;ESCOLAR;MIL28;CASA ARGENTINA
Globos Nº 9 Negro;980;REGALERIA;PARTY TIME;CHOCOLATE MISIONERO
Bolsa Polipropileno Transparente 10x15;958;COMERCIAL;SIN MARCA;PLASTIMI
