Codigo;Producto;CantVend;CantComp;Diferencia
7,79222E+12;Cuaderno anillado T/F America x 80 hj rayado 22x29 ;39;0;-39
AA015794;Cinta Deco Washi Tape x3 5m;3;0;-3
AAA000001;Abre Costura CBX;94;0;-94
AAA000005;Abrochadora Pinza Mit Cod. 47;2;0;-2
AAA000007;Aceite de Lino Eterna 125ml;1;0;-1
AAA000008;Aceite p/máquina de coser Lubrind LP-42 100CC;18;0;-18
AAA000061;Acrílico Acuarel 60ml Blanco Titanio;2;0;-2
AAA000062;Acrílico Acuarel 60ml Fucsia;2;0;-2
AAA000063;Acrílico Acuarel 60ml Rosa;2;0;-2
AAA000064;Acrílico Acuarel 60ml Celeste;3;0;-3
AAA000065;Acrílico Acuarel 60ml Verde Manzana;2;0;-2
AAA000108;Acrílico Ad  Metalizado 60ml Acerado Perlado;1;0;-1
AAA000109;Acrílico Ad  Metalizado 60ml Amarillo Perlado;2;0;-2
AAA000110;Acrílico Ad  Metalizado 60ml Azul Perlado;9;0;-9
AAA000111;Acrílico Ad  Metalizado 60ml Blanco Perlado;9;0;-9
AAA000112;Acrílico Ad  Metalizado 60ml Cobre ;14;0;-14
AAA000114;Acrílico Ad  Metalizado 60ml Naranja Perlado;2;0;-2
AAA000115;Acrílico Ad  Metalizado 60ml ;15;0;-15
AAA000116;Acrílico Ad  Metalizado 60ml Oro Imperio;29;0;-29
AAA000117;Acrílico Ad  Metalizado 60ml Oro Rico;31;0;-31
AAA000118;Acrílico Ad  Metalizado 60ml Plata ;21;0;-21
AAA000119;Acrílico Ad  Metalizado 60ml Rosa Perlado;7;0;-7
AAA000120;Acrílico Ad  Metalizado 60ml Verde Perlado;3;0;-3
AAA000121;Acrílico Ad  Metalizado 60ml Violeta Perlado;3;0;-3
AAA000125;Acrílico Ad 200ml Amarillo Medio;3;0;-3
AAA000129;Acrílico Ad 200ml Azul Celeste;2;0;-2
AAA000131;Acrílico Ad 200ml Azul Esmeralda;3;0;-3
AAA000134;Acrílico Ad 200ml Bermellón;5;0;-5
AAA000137;Acrílico Ad 200ml Blanco Titanio;3;0;-3
